time,tavg,tmin,tmax,wdir,wspd,pres,prcp
2005-01-01,-5.50,-10.90,2.80,295.00,14.60,1032.00,0.00
2005-01-02,-5.40,-11.50,1.50,193.00,6.60,1032.00,0.00
2005-01-03,-1.00,-3.30,3.30,333.00,23.00,1032.00,0.00
2005-01-04,-4.30,-8.20,0.00,348.00,9.00,1032.00,0.00
2005-01-05,-6.80,-9.90,-3.70,340.50,5.10,1032.00,1.50
2005-01-06,-3.00,-9.30,3.80,333.00,12.30,1032.00,0.00
2005-01-07,-2.70,-5.00,1.20,301.00,19.20,1032.00,0.00
2005-01-08,-2.90,-7.00,0.80,350.00,11.00,1032.00,0.00
2005-01-09,-6.20,-8.90,-1.70,3.00,7.50,1032.00,0.00
2005-01-10,-4.90,-10.40,3.20,358.00,9.20,1032.00,0.00
2005-01-11,-2.30,-6.90,2.50,355.00,15.20,1032.00,0.00
2005-01-12,-0.80,-4.30,3.90,352.00,10.80,1031.13,0.00
2005-01-13,-2.20,-5.90,4.10,319.00,10.20,1029.40,0.00
2005-01-14,-1.30,-4.10,2.40,352.00,8.70,1027.70,0.00
2005-01-15,-1.90,-7.00,4.10,329.00,8.70,1027.25,0.00
2005-01-16,-1.90,-7.40,5.10,336.00,5.40,1026.80,0.00
2005-01-17,-1.00,-6.20,4.30,343.00,16.40,1023.60,0.00
2005-01-18,-0.10,-3.20,4.20,350.00,13.50,1026.80,0.00
2005-01-19,-0.60,-5.40,4.30,317.00,11.40,1029.40,0.00
2005-01-20,-2.50,-5.00,2.80,239.75,7.50,1033.40,0.00
2005-01-21,-3.10,-7.80,2.80,162.50,4.70,1034.02,0.00
2005-01-22,-3.50,-6.80,1.10,85.25,5.40,1031.27,0.00
2005-01-23,-2.80,-5.80,1.50,8.00,5.10,1028.43,0.00
2005-01-24,0.20,-4.70,3.00,19.00,10.50,1025.60,0.00
2005-01-25,-2.30,-4.90,0.70,97.50,5.20,1025.90,0.00
2005-01-26,-2.30,-5.60,1.40,176.00,6.80,1026.20,0.00
2005-01-27,-3.20,-5.40,0.10,54.00,6.20,1026.50,0.00
2005-01-28,-1.30,-4.50,4.80,355.00,13.80,1026.80,0.00
2005-01-29,-3.80,-6.90,-0.20,320.00,24.60,1027.10,0.00
2005-01-30,-2.20,-4.20,2.10,10.00,10.50,1028.20,0.00
2005-01-31,-4.10,-5.60,-0.10,323.00,24.40,1025.50,0.00
2005-02-01,-4.60,-8.10,-0.60,329.00,22.50,1028.00,0.00
2005-02-02,-3.90,-7.70,1.40,355.00,13.70,1027.80,0.00
