time,tavg,tmin,tmax,wdir,wspd,pres,prcp
2005-01-01,6.60,2.10,11.40,358.00,14.40,1023.50,0.00
2005-01-02,8.70,7.00,12.40,180.50,3.80,1023.50,0.00
2005-01-03,11.70,7.50,14.70,3.00,7.50,1023.50,0.00
2005-01-04,13.40,11.80,16.50,328.00,9.80,1023.50,0.00
2005-01-05,14.10,12.50,16.70,228.00,6.30,1023.50,0.00
2005-01-06,15.00,12.20,22.20,128.00,4.50,1023.50,0.00
2005-01-07,16.60,11.50,22.70,28.00,6.00,1023.50,0.00
2005-01-08,16.00,11.70,21.40,348.00,8.70,1023.50,0.00
2005-01-09,12.80,9.00,17.40,356.00,12.20,1023.50,0.00
2005-01-10,12.40,8.40,18.40,358.00,8.10,1023.50,0.00
2005-01-11,13.60,10.30,18.00,18.00,7.70,1023.50,0.00
2005-01-12,11.90,10.70,14.00,356.00,12.80,1023.50,0.00
2005-01-13,7.40,6.40,10.70,1.00,11.30,1023.30,6.40
2005-01-14,8.60,4.90,14.40,353.00,14.30,1023.90,0.00
2005-01-15,9.70,5.00,16.00,355.00,9.60,1023.50,0.00
2005-01-16,11.40,7.40,17.60,19.00,5.90,1023.60,0.00
2005-01-17,12.00,7.50,18.70,42.50,5.10,1022.30,0.00
2005-01-18,16.10,12.00,21.60,66.00,4.40,1020.70,0.00
2005-01-19,15.40,12.90,18.30,89.50,7.50,1022.20,0.00
2005-01-20,13.40,12.00,15.10,113.00,7.10,1026.20,0.00
2005-01-21,15.00,9.80,20.50,136.50,5.30,1025.90,0.00
2005-01-22,17.60,15.10,22.50,160.00,4.70,1022.50,0.10
2005-01-23,18.20,13.20,24.50,183.50,6.50,1019.40,0.00
2005-01-24,18.80,16.70,22.80,207.00,6.60,1016.90,0.00
2005-01-25,19.60,17.70,22.60,230.50,5.30,1012.70,0.00
2005-01-26,19.80,18.20,22.70,254.00,6.50,1012.00,0.00
2005-01-27,18.60,17.50,22.70,277.50,7.10,1011.90,0.00
2005-01-28,12.50,11.50,17.80,301.00,7.80,1012.20,0.70
2005-01-29,13.60,12.20,14.80,324.50,3.50,1012.70,0.40
2005-01-30,12.30,10.90,14.80,348.00,10.50,1017.40,0.80
2005-01-31,10.70,9.90,11.80,4.00,9.70,1021.00,0.00
2005-02-01,9.50,8.10,10.60,37.60,8.10,1020.70,0.00
2005-02-02,8.20,7.30,9.10,71.20,5.70,1021.40,1.10
2005-02-03,9.00,8.00,9.90,104.80,3.80,1019.90,0.90
2005-02-04,13.00,9.90,15.80,138.40,2.60,1017.30,0.00
2005-02-05,17.80,15.10,20.80,172.00,1.80,1016.30,0.00
2005-02-06,19.70,17.20,25.10,205.60,6.30,1017.30,0.00
2005-02-07,20.90,18.30,26.90,239.20,4.80,1019.40,0.00
2005-02-08,19.50,16.30,23.70,272.80,5.60,1019.80,0.00
2005-02-09,21.30,19.10,24.70,306.40,3.60,1019.60,0.00
2005-02-10,15.30,12.40,21.70,340.00,14.10,1023.90,0.00
2005-02-11,13.10,10.40,16.80,348.00,8.70,1026.00,0.00
2005-02-12,15.10,12.80,19.50,335.00,9.00,1023.80,0.00
2005-02-13,16.50,12.20,22.60,335.40,5.90,1021.10,0.00
2005-02-14,18.60,16.70,20.50,335.80,4.50,1017.20,0.70
2005-02-15,21.20,19.00,25.90,336.20,7.20,1013.50,0.00
2005-02-16,23.20,21.20,27.30,336.60,8.70,1011.00,0.00
2005-02-17,14.10,12.80,23.30,337.00,11.70,1013.10,2.50
